,algorytm dynamiczny_std,algorytm zachłanny_std,capacity
0,0.0003309851595382966,6.565054711679899e-06,1000
1,0.0007556297471133807,8.35334990404187e-06,2000
2,0.0031028670206640005,1.0833407226781499e-05,3000
3,0.0019975602203659458,1.3924316349422228e-05,4000
4,0.0017066374604407205,1.2065226055366734e-05,5000
5,0.0011786547508143947,1.6500142805489728e-05,6000
6,0.023983751298915962,1.4775541412688628e-05,7000
7,0.017055267015528976,2.15100015291785e-05,8000
8,0.004244251500181203,2.2806079947601546e-05,9000
9,0.040601081066263006,2.2601891278533588e-05,10000
